DDX55	HepG2	chrX_19688980_19689116_-	SH3KBP1	0.68	0.68	14.32	46.09	41.67	0.59
BCLAF1	HepG2	chr1_75172787_75172888_-	CRYZ	-0.56	-0.56	-14.19	45.28	40.73	0.49
RBFOX2	HepG2	chr6_142762045_142762090_+	GPR126	-0.56	-0.56	-12.69	36.47	31.97	0.4
PUM2	HepG2	chr11_70267576_70267686_+	CTTN	-0.64	-0.64	-12.53	35.59	30.91	0.51
DDX3X	HepG2	chr6_142704897_142704980_+	GPR126	0.69	0.69	12.31	34.4	30.22	0.16
HNRNPC	HepG2	chr16_88726928_88727045_-	MVD	0.68	0.69	12.35	34.61	29.98	0.15
QKI	HepG2	chr14_36017714_36017744_-	RALGAPA1	-0.75	-0.75	-11.97	32.59	27.95	0.31
RBFOX2	HepG2	chr1_29386934_29386996_+	EPB41	-0.65	-0.65	-11.57	30.53	26.33	0.4
NCBP2	HepG2	chr6_142704897_142704980_+	GPR126	0.72	0.72	11.63	30.84	26.15	0.13
PUM2	HepG2	chrX_153585619_153585642_-	FLNA	-0.59	-0.59	-11.56	30.48	26.1	0.51
DDX3X	HepG2	chr10_111892063_111892158_+	ADD3	0.64	0.64	11.42	29.78	25.72	0.16
QKI	HepG2	chr6_142704897_142704980_+	GPR126	0.71	0.71	11.16	28.49	24.33	0.31
QKI	HepG2	chr10_111892063_111892158_+	ADD3	0.71	0.71	11.16	28.49	24.33	0.31
GRSF1	HepG2	chr6_142704897_142704980_+	GPR126	0.45	0.45	11.16	28.49	24.23	0.27
TIA1	HepG2	chr17_25634770_25635873_+	WSB1	0.49	0.49	11.07	28.06	23.94	0.56
TIA1	HepG2	chr17_25634770_25635018_+	WSB1	0.49	0.49	11.07	28.06	23.94	0.56
TIA1	HepG2	chr17_25634770_25634896_+	WSB1	0.49	0.49	11.07	28.06	23.94	0.56
BCLAF1	HepG2	chr4_83752090_83752128_-	SEC31A	0.48	0.48	11.01	27.77	23.82	0.49
XRN2	HepG2	chr4_83752090_83752128_-	SEC31A	0.52	0.52	11.01	27.77	23.2	0.47
SAFB2	HepG2	chr4_83752090_83752128_-	SEC31A	0.54	0.54	10.99	27.67	23.16	0.58
HNRNPC	HepG2	chr8_74876722_74876860_-	TCEB1	0.66	0.66	10.95	27.48	23.14	0.15
HNRNPM	HepG2	chr7_158545472_158545534_-	ESYT2	0.56	0.56	10.97	27.57	23.06	0.48
NCBP2	HepG2	chr14_36017714_36017744_-	RALGAPA1	-0.68	-0.68	-10.8	26.76	22.38	0.13
RBFOX2	HepG2	chr6_145148484_145148522_+	UTRN	-0.59	-0.59	-10.49	25.32	21.29	0.4
RBFOX2	HepG2	chr17_27412622_27412666_-	MYO18A	-0.58	-0.58	-10.31	24.5	20.6	0.4
CSTF2	HepG2	chr10_72643267_72643805_-	PCBD1	-0.39	-0.4	-10.32	24.54	20.37	0.3
ZNF622	HepG2	chr13_76383290_76383319_+	LMO7	-0.54	-0.54	-10.21	24.05	19.81	0.15
PUM2	HepG2	chr14_105181621_105181677_+	INF2	-0.79	-0.79	-10.02	23.21	19.12	0.51
HNRNPU	HepG2	chr17_30693684_30693776_+	ZNF207	0.68	0.68	10.11	23.6	19.02	0.26
HNRNPK	HepG2	chr3_145795649_145795711_-	PLOD2	0.61	0.62	10.09	23.51	18.87	0.33
DDX6	HepG2	chr15_71143766_71144059_-	LARP6	-0.83	-0.82	-9.83	22.38	17.76	0.25
NPM1	HepG2	chr9_94056665_94057079_-	AUH	-0.84	-0.83	-9.76	22.08	17.56	0.24
SRSF7	HepG2	chr17_25634770_25635873_+	WSB1	0.46	0.47	9.63	21.52	17.43	0.54
SRSF7	HepG2	chr17_25634770_25635018_+	WSB1	0.46	0.47	9.63	21.52	17.43	0.54
SRSF7	HepG2	chr17_25634770_25634896_+	WSB1	0.46	0.47	9.63	21.52	17.43	0.54
PTBP1	HepG2	chr11_57556509_57556627_+	TMX2-CTNND1	0.65	0.65	9.67	21.69	17.34	0.48
PTBP1	HepG2	chr11_57556509_57556627_+	CTNND1	0.65	0.65	9.67	21.69	17.34	0.48
SUPV3L1	HepG2	chr4_83752090_83752128_-	SEC31A	0.52	0.52	9.53	21.1	17.12	0.35
HNRNPC	HepG2	chr6_52130033_52130183_-	MCM3	0.57	0.57	9.48	20.9	16.74	0.15
DDX3X	HepG2	chr8_62538469_62538839_-	ASPH	0.54	0.54	9.25	19.95	16.29	0.16
DDX3X	HepG2	chr8_62537865_62538839_-	ASPH	0.54	0.54	9.25	19.95	16.29	0.16
DDX3X	HepG2	chr8_62537162_62538839_-	ASPH	0.54	0.54	9.25	19.95	16.29	0.16
DDX3X	HepG2	chr8_62537098_62538839_-	ASPH	0.54	0.54	9.25	19.95	16.29	0.16
DDX3X	HepG2	chr8_62537096_62538839_-	ASPH	0.54	0.54	9.25	19.95	16.29	0.16
DDX3X	HepG2	chr8_62537095_62538839_-	ASPH	0.54	0.54	9.25	19.95	16.29	0.16
SRSF9	HepG2	chr17_25634770_25635873_+	WSB1	0.52	0.52	9.33	20.28	16.27	0.47
SRSF9	HepG2	chr17_25634770_25635018_+	WSB1	0.52	0.52	9.33	20.28	16.27	0.47
SRSF9	HepG2	chr17_25634770_25634896_+	WSB1	0.52	0.52	9.33	20.28	16.27	0.47
PABPC4	HepG2	chrX_153585619_153585642_-	FLNA	-0.46	-0.46	-9.26	19.99	15.84	0.11
PABPC4	HepG2	chr19_10906737_10906875_+	DNM2	-0.46	-0.46	-9.26	19.99	15.84	0.11
QKI	HepG2	chr7_158545472_158545534_-	ESYT2	0.58	0.58	9.1	19.35	15.3	0.31
SF3B4	HepG2	chr1_145355187_145355238_+	NBPF10	-0.9	-0.88	-9.25	19.95	15.24	0.5
QKI	HepG2	chr6_56333780_56333797_-	DST	-0.75	-0.75	-8.98	18.87	14.92	0.31
HNRNPUL1	HepG2	chr9_94056665_94057079_-	AUH	-0.8	-0.79	-9.05	19.15	14.8	0.41
SLBP	HepG2	chr4_83752090_83752128_-	SEC31A	0.34	0.34	8.93	18.67	14.61	0.18
PABPC4	HepG2	chr19_10908056_10908194_+	DNM2	0.43	0.43	8.88	18.48	14.45	0.11
HNRNPM	HepG2	chr6_142704897_142704980_+	GPR126	0.44	0.45	8.83	18.28	14.37	0.48
DKC1	HepG2	chr4_83752090_83752128_-	SEC31A	0.42	0.42	8.92	18.63	14.19	0.19
FUBP3	HepG2	chr17_80207574_80208055_-	CSNK1D	0.42	0.42	8.9	18.55	14.01	0.16
PTBP1	HepG2	chr15_63353912_63353987_+	TPM1	0.59	0.59	8.77	18.05	13.99	0.48
PTBP1	HepG2	chr11_57558857_57559058_+	TMX2-CTNND1	0.59	0.59	8.77	18.05	13.99	0.48
DDX24	HepG2	chr1_145354295_145354467_+	NBPF10	-0.59	-0.58	-8.86	18.4	13.88	0.25
CPSF6	HepG2	chr4_83752090_83752128_-	SEC31A	0.54	0.54	8.86	18.4	13.81	0.28
HNRNPL	HepG2	chr6_88304260_88304331_+	ORC3	0.46	0.46	8.87	18.44	13.77	0.17
NCBP2	HepG2	chr7_158545472_158545534_-	ESYT2	0.54	0.54	8.74	17.93	13.72	0.13
EIF4G2	HepG2	chr17_30693684_30693776_+	ZNF207	0.38	0.38	8.77	18.05	13.69	0.08
SUGP2	HepG2	chr4_83752090_83752128_-	SEC31A	0.33	0.33	8.75	17.97	13.5	0.53
DHX30	HepG2	chr4_83752090_83752128_-	SEC31A	0.34	0.34	8.73	17.9	13.39	0.45
DDX3X	HepG2	chr10_124187792_124187832_+	PLEKHA1	-0.48	-0.48	-8.4	16.65	13.04	0.16
QKI	HepG2	chr6_145148484_145148522_+	UTRN	-0.5	-0.5	-8.44	16.8	12.93	0.31
BCLAF1	HepG2	chrX_30745583_30745669_+	GK	-0.37	-0.37	-8.43	16.76	12.91	0.49
QKI	HepG2	chr4_83782784_83782861_-	SEC31A	0.51	0.51	8.4	16.65	12.85	0.31
QKI	HepG2	chr3_149684103_149684373_-	PFN2	0.53	0.53	8.31	16.32	12.67	0.31
QKI	HepG2	chr3_149684072_149684373_-	PFN2	0.53	0.53	8.31	16.32	12.67	0.31
QKI	HepG2	chr3_149684055_149684373_-	PFN2	0.53	0.53	8.31	16.32	12.67	0.31
AKAP8L	HepG2	chr7_158545472_158545534_-	ESYT2	0.36	0.36	8.42	16.73	12.39	0.92
BCLAF1	HepG2	chr15_30011981_30012220_-	TJP1	0.54	0.54	8.24	16.06	12.29	0.49
PTBP1	HepG2	chrX_128627017_128627052_-	SMARCA1	-0.48	-0.48	-8.26	16.14	12.18	0.48
AUH	HepG2	chr1_39930767_39930784_+	MACF1	-0.33	-0.33	-8.23	16.03	12.1	0.36
NCBP2	HepG2	chr10_111892063_111892158_+	ADD3	0.75	0.75	8.23	16.03	11.94	0.13
PTBP1	HepG2	chr11_57558966_57559145_+	CTNND1	0.55	0.55	8.17	15.81	11.93	0.48
UCHL5	HepG2	chr2_138724667_138725014_+	HNMT	0.45	0.45	8.12	15.63	11.91	0.31
UCHL5	HepG2	chr2_138724667_138724956_+	HNMT	0.45	0.45	8.12	15.63	11.91	0.31
PTBP1	HepG2	chr6_71501392_71501472_+	SMAP1	0.79	0.79	8.13	15.67	11.85	0.48
SF3A3	HepG2	chr14_97026986_97027048_+	PAPOLA	-0.45	-0.44	-8.37	16.54	11.74	0.56
PUM2	HepG2	chr12_125267229_125267357_-	SCARB1	-0.41	-0.41	-8.09	15.53	11.62	0.51
PTBP1	HepG2	chr11_57558964_57559145_+	CTNND1	0.54	0.54	8.02	15.28	11.52	0.48
FASTKD2	HepG2	chr2_96564893_96564965_-	ANKRD36C	-0.54	-0.53	-8.13	15.67	11.41	0.52
PTBP1	HepG2	chr4_83782784_83782861_-	SEC31A	0.47	0.47	7.96	15.07	11.36	0.48
EIF4G2	HepG2	chr4_83752090_83752128_-	SEC31A	0.35	0.35	8.07	15.45	11.27	0.08
